macro address,Write,Function description,Notes
23,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
24,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
25,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
26,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
27,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
28,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
29,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
30,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
31,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
32,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
33,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
34,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
35,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
36,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
37,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
38,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
39,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
40,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
41,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
42,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
43,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
44,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
45,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
46,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
47,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
48,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
49,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
10,S,User variables independent for slib and user UE,
11,S,User variables independent for slib and user UE,
12,S,User variables independent for slib and user UE,
13,S,User variables independent for slib and user UE,
14,S,User variables independent for slib and user UE,
15,S,User variables independent for slib and user UE,
16,S,User variables independent for slib and user UE,
17,S,User variables independent for slib and user UE,
18,S,User variables independent for slib and user UE,
19,S,User variables independent for slib and user UE,
20,S,User variables independent for slib and user UE,
21,S,User variables independent for slib and user UE,
50,S,Used in G28 and G29 commands,
51,S,Used in G28 and G29 commands,
52,S,Used in G28 and G29 commands,
53,S,Used in G28 and G29 commands,
54,S,Used in G28 and G29 commands,
55,S,Used in G28 and G29 commands,
56,S,,
57,S,,
58,S,,
59,S,,
76,S,,
77,S,,
78,S,,
79,S,,
80,S,,
81,S,,
82,S,,
83,S,,
84,S,,
85,S,,
86,S,,
87,S,,
88,S,,
89,S,,
90,S,,
91,S,,
92,S,,
93,S,,
94,S,,
95,S,,
96,S,,
97,S,,
98,S,,
99,S,,
100,S,,
102,S,,
103,S,,
104,S,,
105,S,,
106,S,,
107,S,,
108,S,,
109,S,,
110,S,,
111,S,,
112,S,,
113,S,,
114,S,,
115,S,,
116,S,,
117,S,,
118,S,,
119,S,,
120,S,,
121,S,,
122,S,,
123,S,,
124,S,,
125,S,,
126,S,,
127,S,,
128,S,,
129,S,,
130,S,,
131,S,,
132,S,,
133,S,,
134,S,,
135,S,,
136,S,,
137,S,,
138,S,,
139,S,,
140,S,,
141,S,,
142,S,,
143,S,,
144,S,,
145,S,,
146,S,,
147,S,,
148,S,,
149,S,,
150,S,,
151,S,,
152,S,,
153,S,,
154,S,,
155,S,,
156,S,,
157,S,,
158,S,,
159,S,,
160,S,,
161,S,,
162,S,,
163,S,,
164,S,,
165,S,,
166,S,,
167,S,,
168,S,,
169,S,,
170,S,,
171,S,,
172,S,,
173,S,,
174,S,,
175,S,,
176,S,,
177,S,,
178,S,,
179,S,,
180,S,,
181,S,,
182,S,,
183,S,,
184,S,,
185,S,,
186,S,,
187,S,,
188,S,,
189,S,,
190,S,,
191,S,,
192,S,,
193,S,,
194,S,,
195,S,,
196,S,,
197,S,,
198,S,,
199,S,,
200,S,,
201,S,,
202,S,,
203,S,,
204,S,,
205,S,,
206,S,,
207,S,,
208,S,,
209,S,,
210,S,,
211,S,,
212,S,,
213,S,,
214,S,,
215,S,,
216,S,,
217,S,,
218,S,,
219,S,,
220,S,,
221,S,,
222,S,,
223,S,,
224,S,,
225,S,,
226,S,,
227,S,,
228,S,,
229,S,,
230,S,,
231,S,,
232,S,,
233,S,,
234,S,,
235,S,,
236,S,,
237,S,,
238,S,,
239,S,,
240,S,,
241,S,,
242,S,,
243,S,,
244,S,,
245,S,,
246,S,,
247,S,,
248,S,,
249,S,,
250,S,,
251,S,,
252,S,,
253,S,,
254,S,,
255,S,,
256,S,,
257,S,,
258,S,,
259,S,,
260,S,,
261,S,,
262,S,,
263,S,,
264,S,,
265,S,,
266,S,,
267,S,,
268,S,,
269,S,,
270,S,,
271,S,,
272,S,,
273,S,,
274,S,,
275,S,,
276,S,,
277,S,,
278,S,,
279,S,,
280,S,,
281,S,,
282,S,,
283,S,,
284,S,,
285,S,,
286,S,,
287,S,,
288,S,,
289,S,,
290,S,,
291,S,,
292,S,,
293,S,,
294,S,,
295,S,,
296,S,,
297,S,,
298,S,,
299,S,,
300,S,,
301,S,,
302,S,,
303,S,,
304,S,,
305,S,,
306,S,,
307,S,,
308,S,,
309,S,,
310,S,,
311,S,,
312,S,,
313,S,,
314,S,,
315,S,,
316,S,,
317,S,,
318,S,,
319,S,,
320,S,,
321,S,,
322,S,,
323,S,,
324,S,,
325,S,,
326,S,,
327,S,,
328,S,,
329,S,,
330,S,,
331,S,,
332,S,,
333,S,,
334,S,,
335,S,,
336,S,,
337,S,,
338,S,,
339,S,,
340,S,,
341,S,,
342,S,,
343,S,,
344,S,,
345,S,,
346,S,,
347,S,,
348,S,,
349,S,,
350,S,,
351,S,,
352,S,,
353,S,,
354,S,,
355,S,,
356,S,,
357,S,,
358,S,,
359,S,,
360,S,,
361,S,,
362,S,,
363,S,,
364,S,,
365,S,,
366,S,,
367,S,,
368,S,,
369,S,,
370,S,,
371,S,,
372,S,,
373,S,,
374,S,,
375,S,,
376,S,,
377,S,,
378,S,,
379,S,,
380,S,,
381,S,,
382,S,,
383,S,,
384,S,,
385,S,,
386,S,,
387,S,,
388,S,,
389,S,,
390,S,,
391,S,,
392,S,,
393,S,,
394,S,,
395,S,,
396,S,,
397,S,,
398,S,,
399,S,,
400,S,,
401,S,,
402,S,,
403,S,,
404,S,,
405,S,,
406,S,,
407,S,,
408,S,,
409,S,,
410,S,,
411,S,,
412,S,,
413,S,,
414,S,,
415,S,,
416,S,,
417,S,,
418,S,,
419,S,,
420,S,,
421,S,,
422,S,,
423,S,,
424,S,,
425,S,,
426,S,,
427,S,,
428,S,,
429,S,,
430,S,,
431,S,,
432,S,,
433,S,,
434,S,,
435,S,,
436,S,,
437,S,,
438,S,,
439,S,,
440,S,,
441,S,,
442,S,,
443,S,,
444,S,,
445,S,,
446,S,,
447,S,,
448,S,,
449,S,,
450,S,,
451,S,,
452,S,,
453,S,,
454,S,,
455,S,,
456,S,,
457,S,,
458,S,,
459,S,,
460,S,,
461,S,,
462,S,,
463,S,,
464,S,,
465,S,,
466,S,,
467,S,,
468,S,,
469,S,,
470,S,,
471,S,,
472,S,,
473,S,,
474,S,,
475,S,,
476,S,,
477,S,,
478,S,,
479,S,,
480,S,,
481,S,,
482,S,,
483,S,,
484,S,,
485,S,,
486,S,,
487,S,,
488,S,,
489,S,,
490,S,,
491,S,,
492,S,,
493,S,,
494,S,,
495,S,,
496,S,,
497,S,,
498,S,,
499,S,,
60,S,,
61,S,,
62,S,,
63,S,,
64,S,,
65,S,,
66,S,,
67,S,,
68,S,,
69,S,,
70,S,,
71,S,,
72,S,,
73,S,,
74,S,,
75,S,,
101,S,Used in subroutine O503 (dual y-axis) from slib-g as port number,Subroutine O503 is obsolete
500,B,Motor start speed mm/min,
501,B,X-axis pulses per mm p/mm,
502,B,Y-axis pulses per mm p/mm,
503,B,Z-axis pulses per mm p/mm,
504,S,??pulses per unit,
505,S,??pulses per unit,
506,B,4th axis pulses per mm,
507,B,"4th-axis unit 0：pulse/degree , 1：pulse/revolution","If the axis is not used as a servo spindle, 507=1 cannot be set. Otherwise, the 4th axis will not work correctly during manual movements!"
508,B,pulse equivalent of the 5th Axis,
509,B,"5th-axis unit 0：pulse/degree , 1：pulse/revolution","If the axis is not used as a servo spindle, 509=1 cannot be set. Otherwise, the 5th axis will not work correctly during manual movements!"
510,B,,
511,B,Time interval between DIR & PUL Unit: ns,
512,B,X-axis direction electric level 0: Low 1: High,
513,B,Y-axis direction electric level 0: Low 1: High,
514,B,Z-axis direction electric level 0: Low 1: High,
515,B,4th-axis direction electric level 0: Low 1: High,
516,B,5th-axis direction electric level 0: Low 1: High,
517,B,X-axis Pulse signal Electric Level 0: Low 1: High,
518,B,Y-axis Pulse signal Electric Level 0: Low 1: High,
519,B,Z-axis Pulse signal Electric Level 0: Low 1: High,
520,B,4th-axis Pulse signal Electric Level 0: Low 1: High,
521,B,5th-axis Pulse signal Electric Level 0: Low 1: High,
522,B,Enable axis mapping function,"Note: When this function is enabled, the two axies are linked only/during machining."
523,B,Primary axis selection,
524,B,Mapping axis selection,
525,B,,
526,B,,
527,B,,
528,B,,
529,B,,
530,S,machine type,
531,S,RTCP Resolution,
532,B,,
533,B,,
534,B,,
535,B,X-axis max. speed in manual control,
536,B,Y axis max. speed in manual control,
537,B,Z axis max. speed in manual control,
538,B,4th axis max. speed in manual control,
539,B,5th axis max. speed in manual control,
540,B, HIGH speed of X-axis in manual control,
541,B, HIGH speed of Y-axis in manual control,
542,B, HIGH speed of Z-axis in manual control,
543,B, HIGH speed of 4th axis in manual control,
544,B, HIGH speed of 5th-axis in manual control,
545,B, LOW speed of X-axis in manual control,
546,B, LOW speed of Y-axis in manual control,
547,B, LOW speed of Z-axis in manual control,
548,B,LOW speed of 4th axis in manual control,
549,B, LOW speed of 5th axis in manual control,
550,B,X-axis start acceleration in manual control,
551,B,Y-axis start acceleration in manual control,
552,B,Z-axis start acceleration in manual control,
553,B,4th-axis start acceleration in manual control,
554,B,5th-axis start acceleration in manual control,
555,B,X-axis Stop acceleration in manual control,
556,B,Y-axis Stop acceleration in manual control,
557,B,Z-axis Stop acceleration in manual control,
558,B,4th axis Stop acceleration in manual control,
559,B,5th axis Stop acceleration in manual control,
560,B,Speed Selection: 0: G Code / 1: Default,
561,B,"default operation speed, Unit: mm/min",
562,B," linear feed moves (G01) acceleration speed, Unit: mm/min",
563,B,"Move as quickly as possible to a given point (G0) Speed, Unit: mm/min",
564,B,"Maximum Machining speed, Unit: mm/min",
565,B,"Z-axis lifting protection speed, Unit: mm/min",
566,B,"Z-axis dropping protection speed, Unit: mm/min",
567,B,"X-axis protection speed, Unit: mm/min",
568,B,"Y-axis protection speed, Unit: mm/min",
569,B,"Z axis safe height, Unit: mm",
570,B,"Z-axis retraction distance when paused, Unit: mm",Z lift distance on pause
571,S,Enabling motion scheduling of the G0 segment,G0段运动规划使能
572,S,"G0 command motion characteristics, 0: Interpolation; 1:Independent",Interpolation:synergistic movement of each axis./Independent:each axis independently moves at G0 speed.
573,B,Arc-interpolation algorithm 0: Hard algorithm 1: Soft algorithm,
574,B,Soft-arc algorithm linear precision Unit: mm,
575,B,Circular centrifugal acceleration,
576,B,Macro scan switch 0: Close 1: Open,Changing this setting should work without reboot
577,B,macro program file main program no.,
578,B,Displays the number of the current working SC. 1-G54; 6-G59; 0-G92. Toggles them if the controller is restarted after the change.,
579,B,Spindle interface type: 0: Analog 1: Plu&Dir 2: Multi-Speed,
580,B,Servo Spindle mapping axis: X / Y / Z / 4th / 5th Axis,
581,B,Spindle start delay Unit: S,
582,B,Maximum spindle speed,
583,B,Ignore the S command 0:No 1:Yes,
584,B,Stop spindle when program is paused 0:No 1:Yes,Whether to pause the spindle
585,B,Default spindle speed Unit: rpm,
586,S,Spindle PWM electric level,
587,S,PWM rising rate from 0V to 10V,
588,B,Multi-speed section counts 2-8,
589,B,Spindle stop delay,
590,B,Action selection before starting 0: No Action 1: To Safety Z,
591,B,Z-axis movement mode during pause 0: No action 1：ZZ lift distance (#70),Whether to raise Z on pause.
592,B,Delay of M8/M9 commands Unit: S,
593,B,,
594,B,Delay of M10/M11 commands Unit: S,
595,B,IO input filter time width Unit: ms,
596,B,Reset IO Configuration bit 01-16,Changes the state of the outputs after a reboot
597,B,Reset IO Configuration bit 17-21,Changes the state of the outputs after a reboot
598,B,Alarm output status configuration bit 01-16,
599,B,Alarm output status configuration bit 17-21,
600,B,Home mode 0: switch 1: Absolute,"The function of determining the absolute position of the axes during loading (according to the encoder), instead of homing. If you set it to 1, it will try to determine the coordinates from the encoder after loading (of course, unsuccessfully)."
601,B,Servo absolute laps at the X-axis Home,"The absolute position of the encoder in the X-axis, at the home position of the X-axis. Used in the M110 command (subroutine O10110 in slib-m)"
602,B,Servo absolute laps at the Y-axis Home,"Absolute position of the encoder in the Y-axis, with the home position of the Y-axis. Used in the M111 command (subroutine O10111 in slib-m)"
603,B,Servo absolute laps at the Z-axis Home,"The absolute position of the encoder in the Z axis, with the home position of the Z axis. Used in the M112 command (subroutine O10112 in slib-m)"
604,B,Servo absolute laps at the 4th-axis Home,"Absolute position of the encoder in the A-axis, with the home position of the A-axis. Used in the M113 command (subroutine O10113 in slib-m)"
605,B,Servo absolute laps at the 5th-axis Home,"Absolute encoder position on the B-axis, when the B-axis is in the home position. Used in the M114 command (subroutine O10114 in slib-m)"
606,B,Home detection times 1-5,Number of visits to the homing sensor. You can not put 6. A glitch is possible. There will be a variable conflict.
607,B,X-axis homing speed Unit: mm/min,
608,B,Y-axis homing speed Unit: mm/min,
609,B,Z-axis homing speed Unit: mm/min,
610,B,4th-axis homing speed Unit: mm/min,
611,B,5th-axis homing speed Unit: mm/min,
612,B,X-axis homing direction 0: Negative 1: Positive,
613,B,Y-axis homing direction 0: Negative 1: Positive,
614,B,Z-axis homing direction 0: Negative 1: Positive,
615,B,4th-axis homing direction 0: Negative 1: Positive,
616,B,5th-axis homing direction 0: Negative 1: Positive,
617,B,Maximum error of home switch,
618,B,Second precision positioning speed,
619,B,,
620,B,,
621,B,,
622,B,Mach position after X go home,
623,B,Mach position after Y go home,
624,B,Mach position after Z go home,
625,B,Mach position after 4th go home,
626,B,Mach position after 5th go home,
627,B,Home after booting 0：Yes 1: No,
628,B,Is the Floating tool set valid?,
629,B,Floating tool set thickness,
630,B,Is the fixed tool set valid?,
631,B,Probe detection times 1-5,Probing cycle count
632,B,Initial speed of Probing Unit: mm/min,
633,R/O,Probe Tool block thickness,Useful floating tool
634,B,Setting the tool to its original position,对刀初始位置
635,B,Fixed probe X mach pos Unit: mm,
636,B,Fixed probe Y mach pos Unit: mm,
637,B,Fixed probe Z mach pos Unit: mm,
638,B,Fixed probe 4th mach pos Unit: mm,
639,B,Fixed probe 5th mach pos Unit: mm,
640,B,Retraction distance after probe action is finished Unit: mm,Retraction distance after the end of probe
641,B,,
642,B,,
643,B,,
644,B,,
645,B,,
646,B,,
647,B,,
648,B,,
649,B,,
650,B,Stop mode when X-axis hard limit trigger 0：Deceleration 1：Emergency,
651,B,Stop mode when Y-axis hard limit trigger 0：Deceleration 1：Emergency,
652,B,Stop mode when Z-axis hard limit trigger 0：Deceleration 1：Emergency,
653,B,Stop mode when 4th-axis hard limit trigger 0：Deceleration 1：Emergency,
654,B,Stop mode when 5th-axis hard limit trigger 0：Deceleration 1：Emergency,
655,B,Enable software limits 0: No 1: Yes,
656,B,Stop mode when X-axis soft limit trigger 0：Deceleration 1：Emergency,
657,B,Stop mode when Y-axis soft limit trigger 0：Deceleration 1：Emergency,
658,B,Stop mode when Z-axis soft limit trigger 0：Deceleration 1：Emergency,
659,B,Stop mode when 4th-axis soft limit trigger 0：Deceleration 1：Emergency,
660,B,Stop mode when 5th-axis soft limit trigger 0：Deceleration 1：Emergency,
661,B,X Soft limit of Negative position,
662,B,Y Soft limit of negative position,
663,B,Z Soft limit of Negative position,
664,B,4th Soft limit of Negative position,
665,B,5th Soft limit of Negative position,
666,B,X Soft limit of positive position,
667,B,Y Soft limit of positive position,
668,B,Z Soft limit of positive position,
669,B,4th Soft limit of Positive position,
670,B,5th Soft limit of Positive position,
671,B,MPG precision Mode control mode: 0:Active 1:Disable,
672,B,MPG X1 distance 0.001-0.01,
673,B,MPG Estop signal enable 0：Disable 1：Enable,
674,B,MPG Estop signal Level define 0：Low 1：High,
675,B,MPG working direction 0:Positive 1：Negative,
676,B,MPG X1 Working speed,
677,B,MPG X10 Working speed,
678,B,MPG X100 Working speed,
679,B,Magnification adjustment increment value when Handwheel guide stopped,
680,B,MPG Acceleration/deceleration rate adjustment increment value,
681,B,MPG Movement acceleration of X axis,
682,B,MPG Movement acceleration of Y axis,
683,B,MPG Movement acceleration of Z axis,
684,B,MPG Movement acceleration of 4th axis,
685,B,MPG Movement acceleration of 5th axis,
686,B,,
687,B,,
688,B,,
689,B,,
690,B,X axis Backlash 0：Disable 1:Enable,
691,B,Y axis Backlash 0：Disable 1:Enable,
692,B,axis Backlash 0：Disable 1:Enable,
693,B,4th axis Backlash 0：Disable 1:Enable,
694,B,5th axis Backlash 0：Disable 1:Enable,
695,B,X axis ballscrew Backlash unit: mm,
696,B,Y axis ballscrew Backlash unit: mm,
697,B,Z axis ballscrew Backlash unit: mm,
698,B,4th axis ballscrew Backlash unit: mm,
699,B,5th axis ballscrew Backlash unit: mm,
700,B,Backlash compensation speed 单位:mm/min,
701,B,Total number of processed pieces,The total number of completed programs. Upgrades with the completion of M30. Doesn't reset on reboot.
702,S,The number of processed pieces (Current number of processed pieces),Number of completed programs in the current session. Upgrades with the completion of M30. Cleared on reboot.
703,B,Number of cyclic processing pieces (Planned number of processed pieces),Number of repetitions for command M47
704,B,,
705,B,,
706,B,,
707,B,,
708,B,,
709,B,,
710,B,K1 key function definition,"If you set #710=2536, this will hang the controller when K1 is pressed. The button presses itself endlessly."
711,B,K2 key function definition,"If you set #711=2537, this will hang the controller when K2 is pressed. The button presses itself endlessly."
712,B,K3 key function definition,"If you set #712=2538, this will hang the controller when K3 is pressed. The button presses itself endlessly."
713,B,K4 key function definition,"If you set #713=2539, this will hang the controller when K4 is pressed. The button presses itself endlessly."
714,B,K5 key function definition,"If you set #714=2540, this will hang the controller when K5 is pressed. The button presses itself endlessly."
715,B,K6 key function definition,"If you set #715=2541, this will hang the controller when K6 is pressed. The button presses itself endlessly."
716,B,K7 key function definition,"If you set #716=2541, this will hang the controller when K7 is pressed. The button presses itself endlessly."
717,B,K8 key function definition,"If you set #717=2542, this will hang the controller when K8 is pressed. The button presses itself endlessly."
718,B,K9 key function definition,"If you set #718=2543, this will hang the controller when K9 is pressed. The button presses itself endlessly."
719,B,K10 key function definition,"If you set #719=2544, this will hang the controller when K10 is pressed. The button presses itself endlessly."
720,B, Go Home Before Processing? 0：No 1：Yes,
721,B,References speed when working on radius 5mm Arc,
722,B,The 4th Axis processing protection speed,
723,B,The 5th Axis processing protection speed,
724,B,Set the Drilling cycle Retraction amount,
725,S,Feed rate change range,Magnification increment when handwheel exit and manual override adjustment.
726,S,Magnification decrease in pause,Suspension rate change when decelerating to stop.
727,S,Processing magnification change interval,Cooperate with parameter 225.
728,S,Magnification change when resetting alarm,
729,S,Reset alarm rate change interval,
730,B,"After processing finished, the machine: 0：Don't move 1：Back to References Point 2：Back to Zero",
731,B,K11 key function definition,"If #731=2545 is set, this will hang the controller when K11 is pressed. The button presses itself endlessly."
732,B,K12 key function definition,"If you set #732=2546, this will hang the controller when K12 is pressed. The button presses itself endlessly."
733,B,K13 key function definition,"If you set #733=2547, this will hang the controller when K13 is pressed. The button presses itself endlessly."
734,B,K14 key function definition,"If you set #734=2548, this will hang the controller when K14 is pressed. The button presses itself endlessly."
735,B,Home offset of X axis,
736,B,Home offset of Y axis,
737,B,Home offset of Z axis,
738,B,Home offset of 4th axis,
739,B,Home offset of 5th axis,
740,B,Language Setting 0:English 1:Chinese 2:Russian,
741,B,Buzzer enable 0:Forbit 1:Enable,
742,S,Main interface display scheme,主界面显示方案
743,B,,
744,B,Toolpath Realtime Display 0 :Forbit 1:Enable,
745,B,Toolpath display mode 0:Status 1:Line 2: 3D,
746,S,Max. polyline segments,
747,B,Interpolation period Second 0.001-0.01,
748,B,User self-design LOGO Display time,
749,S,parameter gradient,J参数梯度
750,S,Maximum machining contour error,
751,B,K15 key function definition,"If you set #751=2549, this will hang the controller when K15 is pressed. The button presses itself endlessly."
752,B,K16 key function definition,"If you set #752=2550, this will hang the controller when K16 is pressed. The button presses itself endlessly."
753,B,,
754,S,Toolpath width (Area width (X)),"Set individually, for each program file name (NC)"
755,S,Toolpath Length (Height of area (Y)),"Set individually, for each program file name (NC)"
756,S,Toolpath thickness (Region depth (Z)),"Set individually, for each program file name (NC)"
757,S,The toolpath plane thickness in Statue mode,"Set individually, for each program file name (NC)"
758,S,The X Origin point on plane,"Set individually, for each program file name (NC)"
759,S,The Y Origin point on plane,"Set individually, for each program file name (NC)"
760,S,The Z Origin point on plane,"Set individually, for each program file name (NC)"
761,S,X-axis rotation angle in 3D toolpath mode,
762,S,Y-axis rotation angle in 3D toolpath mode,
763,S,Z-axis rotation angle in 3D toolpath mode,
764,B,Alarm Enable output configuration 01-16,
765,B,Alarm Enable output configuration 17-32,
766,B,Serial 1 baud rate,
767,B,Serial 2 baud rate,
768,B,External keyboard type,
